"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"TRINITY_DN51728_c0_g1_i1",4.42224466,-0.287442555,19.03485183,1.28e-05,0.000224309,"T1_vs_CTL","up"
"TRINITY_DN48052_c0_g1_i2",3.143028219,0.341980085,19.01156797,1.3e-05,0.00022659,"T1_vs_CTL","up"
"TRINITY_DN42921_c0_g1_i2",6.095080685,-1.438472935,18.93779657,1.35e-05,0.000235033,"T1_vs_CTL","up"
"TRINITY_DN80105_c0_g1_i1",6.074669698,-1.222332576,18.92645232,1.36e-05,0.000236189,"T1_vs_CTL","up"
"TRINITY_DN50557_c0_g1_i1",2.417877496,2.504636825,18.88058252,1.39e-05,0.000241185,"T1_vs_CTL","up"
"TRINITY_DN53909_c9_g1_i4",2.156933675,8.972544277,18.80563595,1.45e-05,0.000249302,"T1_vs_CTL","up"
"TRINITY_DN38721_c0_g1_i1",3.027303208,0.42327345,18.7870131,1.46e-05,0.000251087,"T1_vs_CTL","up"
"TRINITY_DN61418_c0_g1_i7",2.670797006,1.358221091,18.78224464,1.47e-05,0.000251087,"T1_vs_CTL","up"
"TRINITY_DN41759_c0_g1_i1",3.181732563,0.20336387,18.77767316,1.47e-05,0.000251432,"T1_vs_CTL","up"
"TRINITY_DN58975_c0_g1_i1",5.934729262,-0.518178599,18.77550771,1.47e-05,0.000251461,"T1_vs_CTL","up"
"TRINITY_DN64083_c0_g1_i2",4.363741118,-0.093587303,18.71385658,1.52e-05,0.00025893,"T1_vs_CTL","up"
"TRINITY_DN3471_c0_g1_i1",6.060007281,-1.442034394,18.70518018,1.53e-05,0.000259743,"T1_vs_CTL","up"
"TRINITY_DN62775_c0_g1_i1",2.476606471,2.13485648,18.69326957,1.54e-05,0.000260943,"T1_vs_CTL","up"
"TRINITY_DN61054_c0_g1_i4",2.344407412,2.71148763,18.67106234,1.55e-05,0.000263133,"T1_vs_CTL","up"
"TRINITY_DN27295_c0_g1_i1",3.164896691,0.93682137,18.6696054,1.55e-05,0.000263133,"T1_vs_CTL","up"
"TRINITY_DN15416_c0_g1_i1",2.162020694,3.400473395,18.66660564,1.56e-05,0.000263281,"T1_vs_CTL","up"
