"transcript","logFC","logCPM","LR","PValue","FDR","contrast","expression"
"16833","TRINITY_DN41488_c0_g1_i3",4.799960531,2.109043728,51.75568883,6.29e-13,1.16e-10,"T2_vs_CTL","up"
"16834","TRINITY_DN40985_c0_g1_i1",-3.722506101,4.865598875,51.52694607,7.06e-13,1.29e-10,"T2_vs_CTL","down"
"16835","TRINITY_DN51077_c0_g1_i2",3.868888408,8.851058304,51.47434634,7.25e-13,1.31e-10,"T2_vs_CTL","up"
"16836","TRINITY_DN32852_c0_g1_i1",3.811913721,8.859800415,51.13392731,8.63e-13,1.54e-10,"T2_vs_CTL","up"
"16837","TRINITY_DN63477_c0_g1_i1",-3.658626865,5.954743446,51.05729054,8.97e-13,1.58e-10,"T2_vs_CTL","down"
"16838","TRINITY_DN64195_c22_g1_i2",-3.672485072,6.842945691,50.98177743,9.32e-13,1.63e-10,"T2_vs_CTL","down"
"16839","TRINITY_DN61453_c0_g1_i1",-3.748889709,4.139397429,50.64782129,1.11e-12,1.91e-10,"T2_vs_CTL","down"
"16840","TRINITY_DN59015_c1_g1_i1",-3.817818756,9.596753555,50.47649313,1.21e-12,2.06e-10,"T2_vs_CTL","down"
"16841","TRINITY_DN54998_c0_g1_i1",3.734068196,8.445126185,50.04482347,1.5e-12,2.53e-10,"T2_vs_CTL","up"
"16842","TRINITY_DN36170_c0_g1_i1",3.642277242,6.979151894,50.03356609,1.51e-12,2.53e-10,"T2_vs_CTL","up"
"16843","TRINITY_DN61914_c2_g1_i1",3.629306827,5.341316889,49.81987071,1.69e-12,2.79e-10,"T2_vs_CTL","up"
"16844","TRINITY_DN62921_c3_g2_i1",5.798745883,1.28467506,49.52277771,1.96e-12,3.22e-10,"T2_vs_CTL","up"
"16845","TRINITY_DN59671_c0_g1_i1",-3.585897711,5.808625321,49.48292177,2e-12,3.25e-10,"T2_vs_CTL","down"
"16846","TRINITY_DN28321_c1_g1_i1",3.805093934,3.543225657,49.29135771,2.21e-12,3.55e-10,"T2_vs_CTL","up"
"16847","TRINITY_DN64116_c2_g1_i1",-3.615788133,4.98781072,49.17731592,2.34e-12,3.72e-10,"T2_vs_CTL","down"
"16848","TRINITY_DN59803_c0_g1_i1",3.603870254,6.364610764,49.16401554,2.35e-12,3.72e-10,"T2_vs_CTL","up"
"16849","TRINITY_DN84859_c0_g1_i1",6.068756608,0.549583743,48.91225821,2.68e-12,4.19e-10,"T2_vs_CTL","up"
"16850","TRINITY_DN55253_c0_g1_i2",4.310945409,2.193719905,48.71325943,2.96e-12,4.59e-10,"T2_vs_CTL","up"
"16851","TRINITY_DN27091_c0_g1_i1",-4.231990178,2.266633951,48.65982203,3.04e-12,4.67e-10,"T2_vs_CTL","down"
"16852","TRINITY_DN12092_c0_g1_i1",5.44105069,1.405535593,48.64638353,3.07e-12,4.67e-10,"T2_vs_CTL","up"
"16853","TRINITY_DN60782_c0_g1_i3",6.712788876,1.258461902,48.3102585,3.64e-12,5.49e-10,"T2_vs_CTL","up"
"16854","TRINITY_DN58079_c33_g2_i3",3.676615056,8.902488874,48.12264844,4e-12,5.98e-10,"T2_vs_CTL","up"
"16855","TRINITY_DN62579_c1_g1_i3",-3.573874139,4.853456158,48.09908847,4.05e-12,6e-10,"T2_vs_CTL","down"
"16856","TRINITY_DN51176_c0_g1_i1",-3.698945045,3.446287819,47.89740203,4.49e-12,6.56e-10,"T2_vs_CTL","down"
"16857","TRINITY_DN41346_c0_g1_i1",-3.939385494,3.016603397,47.89204077,4.5e-12,6.56e-10,"T2_vs_CTL","down"
"16858","TRINITY_DN18747_c0_g1_i1",-5.514427793,0.723847587,47.70448908,4.96e-12,7.15e-10,"T2_vs_CTL","down"
"16859","TRINITY_DN47240_c3_g1_i1",3.681604749,9.604781996,47.49314266,5.52e-12,7.9e-10,"T2_vs_CTL","up"
"16860","TRINITY_DN51929_c0_g1_i2",3.588588582,4.638086666,47.0746762,6.83e-12,9.7e-10,"T2_vs_CTL","up"
"16861","TRINITY_DN51835_c1_g1_i1",-3.691023921,3.285160389,46.91634939,7.41e-12,1.04e-09,"T2_vs_CTL","down"
"16862","TRINITY_DN36105_c0_g1_i1",-3.556449411,7.949792623,46.82667557,7.76e-12,1.08e-09,"T2_vs_CTL","down"
"16863","TRINITY_DN54295_c0_g1_i1",-3.481272205,6.840000805,46.67787624,8.37e-12,1.16e-09,"T2_vs_CTL","down"
"16864","TRINITY_DN55980_c0_g1_i1",4.003695114,2.67604839,46.65095099,8.48e-12,1.16e-09,"T2_vs_CTL","up"
"16865","TRINITY_DN36573_c3_g1_i1",3.470858785,6.256250753,46.49664794,9.18e-12,1.25e-09,"T2_vs_CTL","up"
"16866","TRINITY_DN58763_c0_g1_i1",3.510577114,5.157505684,46.43083585,9.49e-12,1.28e-09,"T2_vs_CTL","up"
